N°Obs,1. Quel est votre ministère d'appartenance ?,2. Quelle est votre fonction ?,3. Précisez votre fonction,"4. Quel est le nom de votre direction, sous-direction ou service",5. Quelle est votre région (pour les administrations territorial,6. A1. Considérez-vous avoir eu rapidement les moyens de mobilis,7. A1a. Pour quelles raisons ?,8. A2. Dans quel délai avez-vous eu connaissance des moyens numé,9. A3. Comment notez-vous l'efficacité de vos moyens de télétrav,10. A4. Quelles initiatives complémentaires avez-vous prises pou,11. Messagerie du ministère,12. Messagerie autre (ex: gmail),13. Messagerie instantanée interministérielle (Tchap),14. Messagerie instantanée autre (ex: WhatsApp),15. Visio-conférence du ministère,16. Viso-conférence interministériel (WebConf),17. Visio-conférence autre (ex: Skype),18. Outils collaboratifs du ministère,"19. Outils collaboratifs interministériels (OSMOSE, PLANO, RESAN",20. Outils collaboratifs autres,21. Audio-conférence téléphonique,22. B2. Avez-vous eu recours à des ressources ou compétences add,"23. B2a. Si oui, lesquelles et comment les avez-vous activées ?",24. B3. A quelles principales difficultés avez-vous fait face po,25. C1. Considérez-vous que votre direction disposait d'une cult,26. C2. Quels moyens de communication internes avez-vous mis en,"27. C2a. Si ""autre"", lesquelles ?","28. C3. Avez-vous détecté des agents mis en difficulté, y compri",29. C3a. Que pouvez-vous en dire ?,30. C4. Entendez-vous conserver au-delà de la crise des pratique,"31. C4a. Si oui, lesquelles ?",32. C5. Que souhaitez-vous ajouter sur les impacts du numérique,33. Clé,34. Date de saisie,35. Date de dernière modification,36. Date de dernier enregistrement,37. Temps de saisie,38. Langue,39. Progression,40. Origine,41. Appareil utilisé pour la saisie
734,Solidarité et Santé,Chef.fe de service (centrale),,Direction Générale de la Cohésion Sociale,,Oui,,La 2ème semaine,5,Audios pour les bilatérales et visio privilégiées pour les réunions d'équipe. Réunions et entretiens en bilatérale renforcés durant la gestion de la crise et surtout la période de confinement.,Très utile,Non utilisé,Non utilisé,Utile,Non utilisé,Non utilisé,Non utilisé,Utile,Utile,Utile,Très utile,Oui,En sollicitant et en mobilisant des compétences internes inexploitées jusqu'alors,"Outils de visio conférence (webex, jitsi) trés peu pratiques. 
Mobilisation de l'outil zoom, tout en ayant conscience de sa fragilité et de son caractère moins sécurisé
Bande passante insuffisante",Oui mais insuffisamment,Courriels / Lettre d'information;Enquête en ligne;Web ou audio conférences,,Pas encore,,Oui,"Saisine par voie électronique
Parapheur dématérialisé et signature électronique
Espace numérique de travail sous Symbiose",Gros travail d'acculturation et de conduite du changement à opérer au sein de ma Direction et du ministère. Ne pas le réaliser en départ lancé en sortie de crise ferait prendre un risque majeur aux démarches lancées en interne et admises (nécessité fait loi) sans être pour autant totalement assimilées ou admises,LX8V-HYE5,16/05/2020 16:39:50,,16/05/2020 16:49:28,577.4310287,FR,Terminé,Direct,PC
735,Solidarité et Santé,Sous-directeur.trice (centrale),,Direction générale de la cohésion sociale,,Oui,,Dès la 1ère semaine,4,"Réunions beaucoup plus régulières avec les cadres, couplés à des échanges bilatéraux programmés chaque semaine. Mise en place réunions en visioconférence de ""convivialité"" pas pour échanger sur les dossiers mais pour prendre des nouvelles et partager les expériences.",Très utile,Non utilisé,Non utilisé,Utile,Pas utile,Non utilisé,Utile,Utile,Inconnu,Utile,Très utile,Oui,"Des partenaires disposant d'outils numériques à distance, notamment via le réseau Idéal connaissances qui fédèrent les collectivites locales et les acteurs de l'action sociale autour d'un réseau partagé",Ralentissement important des outils de travail à distance sur certaines périodes,Oui,Réseau social;Web ou audio conférences,,Non,,Oui,Utilisation plus régulière des audio et des visioconférence même si nous avions déjà amorcé ces pratiques avant la crise,,BAZJ-9EYJ,16/05/2020 16:48:09,,16/05/2020 17:02:52,883.0972648,FR,Terminé,Direct,Smartphone
736,Solidarité et Santé,Chef.fe de mission / département / bureau (centrale),,Direction Générale de la Cohésion Sociale,,Oui,,La 2ème semaine,4,"Visioconférences
Entretiens téléphoniques prolongés",Très utile,Non utilisé,Non utilisé,Non utilisé,Très utile,Très utile,Utile,Utile,Non utilisé,Non utilisé,Très utile,Non,,Aménagement des conditions de travail au domicile sur le long terme,Oui mais insuffisamment,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Je ne sais pas encore,,"Difficulté pour maintenir un véritable collectif de travail, son état d'esprit et un sentiment d'appartenance
Difficulté à dessiner des frontières claires entre travail et non-travail",GWF7-GMM2,16/05/2020 16:58:23,,16/05/2020 17:10:22,719.2148571,FR,Terminé,Direct,PC
737,Solidarité et Santé,Sous-directeur.trice (centrale),,direction générale de la cohésion sociale,,Oui,,Dès la 1ère semaine,2,réunions de sous-direction en visio lorsque cela était possible,Très utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Non utilisé,Très utile,Très utile,Non,,"pas de vision conférences sécurisées, pas de poste à  niveau pour le webex, problèmes récurrents de bande passante",Oui mais insuffisamment,Courriels / Lettre d'information,,Oui,"l'absence de contact exacerbe les tensions interpersonnelles, les questions qui se résolvent habituellement en échange direct avec les agents sont beaucoup plus longues à traiter par mails, risque très fort de burn out car impossibilité de partager vie personnelle et professionnelle",Je ne sais pas encore,,"il faut vraiment améliorer les instruments de signature électronique qui reportent beaucoup de charge sur l'encadrement supérieur en termes de secrétariat.
De même, de fait beaucoup de tâches assumées habituellement par les assistantes ont été reportées pour les cadres.
En revanche, la crise a démontré qu'on gagne beaucoup de temps avec des réunions en visio notamment sur les RIM, le travail des textes au conseil d'Etat, etc.",6A37-XTGS,16/05/2020 17:45:44,,16/05/2020 18:01:40,956.5519932,FR,Terminé,Direct,PC
738,Solidarité et Santé,Chef.fe de mission / département / bureau (centrale),,DGCS,Île-de-France,Oui,,Dès la 1ère semaine,4,Accompagnement au numérique des personnels,Très utile,Non utilisé,Non utilisé,Non utilisé,Très utile,Utile,Utile,Très utile,Très utile,Très utile,Très utile,Oui,Compétences numériques via la DNUM du MSS,Visioconférence de mauvaises qualité à cause d'une bande passante trop faible,Oui mais insuffisamment,Courriels / Lettre d'information;Enquête en ligne;Web ou audio conférences,,Oui,Il a fallu les accompagner individuellement.,Oui,Télétravail et usage du numérique,"Sur le numérique, il y a désormais des attentes fortes notamment pour développer les partenariats, les services aux publics visés par les politiques de solidarité et l'exploitation des DATA.",UV6Y-86P3,16/05/2020 18:02:28,,16/05/2020 18:11:15,527.3448669,FR,Terminé,Direct,Smartphone
739,Agriculture et Alimentation,Autre,Inspectrice générale de l'agriculture,"CGAAER, Conseil général de l’alimentation, de l'agriculture et des espaces ruraux",,Pas suffisamment,"Nombreuses incertitudes quant à l'opportunité d'utiliser ZOOM, sans autre solution possible.",La 3ème semaine,4,"Concertations régulières avec les équipes, échanges tél autant que de besoin, Zoom hebdomadaire",Très utile,Non utilisé,Non utilisé,Très utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Utile,Non,,Pas de difficultés particulières,Oui mais insuffisamment,Courriels / Lettre d'information;Réseau social;Autre,ZOOM,Pas encore,,Je ne sais pas encore,,Importance d'avoir un lien instantané avec le service informatique du ministère,2AMF-LA2N,16/05/2020 18:33:20,,16/05/2020 18:47:06,826.1785244,FR,Terminé,Direct,PC
740,Solidarité et Santé,Sous-directeur.trice (centrale),,Enfance et famille,,Oui,,Dès la 1ère semaine,3,Réunions en audio-conférence et vidéos essentiellement Zoom avant de ne plus utiliser cet outil en raison de son manque de fiabilité,Très utile,Non utilisé,Non utilisé,Très utile,Non utilisé,Non utilisé,Utile,Inconnu,Inconnu,Inconnu,Très utile,Non,,"Connection au réseau parfois très capricieuse. Idem pour Outloock parfois pas stable.
L'écran de l'ordinateur portable trop petit et manque de définition
Système pour les audios très performant
Pas d'outil fiable et performant pour les vidéos",Oui mais insuffisamment,Courriels / Lettre d'information;Réseau social;Web ou audio conférences,,Non,,Oui,"Audios régulières avec les opérateurs.
Favoriser le télétravail dans la sous direction lorsqu'il est possible","Les outils développés ont permis l'organisation des services et une communication globalement réussies. Cependant, ils ont montré de réelles faiblesses pour permettre une montée en puissance de la pratique de la dématérialisation qui supposerait un renouvellement du parc informatique, la mise en place d'outils à la fois intuitifs, sécurisés et performants.",LVWT-VXV3,17/05/2020 17:46:29,,17/05/2020 17:55:44,554.6276496,FR,Terminé,Direct,PC
741,Solidarité et Santé,Autre,Secrétaire général,ARS,Normandie,Oui,,La 2ème semaine,4,"Mise en ple du PCA, de cellules de crise parallèlement. Généralisation à l'ensemble du personnel des équipements nomades (téléphone, pc portable), location du pont visio, achat clé 4G, audioconf mobile GSM, création d'un espace SharePoint dédiée covid19, mise en place d'une formation télétravail pour les agents et les encadrants.",Très utile,Utile,Utile,Utile,Très utile,Très utile,Très utile,Très utile,Non utilisé,Très utile,Très utile,Oui,"Société spécialisée dans la mise en place d'un outil de suivi contact covid (Exolis), sollicitée par mail et téléphone.
Société Telecom pour activation de numéro vert.","Débit du réseau, absence d'harmonisation des équipements visio ou plateforme, les bonnes pratiques en visio ou audio, plateforme collaborative peu connue, appropriation des outils collaboratifs (ged,...)",Oui,Courriels / Lettre d'information;Site Web;Web ou audio conférences,,Pas encore,,Oui,"Réunion en visio ou audio, alternance agent sur site et télétravail, outil de planification dématérialisé, généralisation de la GED pour différents process.","Succès : équipe SI mobilisée rapidement pour déploiement des kits télétravail, appropriation assez rapide des outils numériques pour 90% des agents, beaucoup des missions ARS compatibles à distance, révision des priorités de travail de par la distance, cette situation nous a obligé à penser autrement et prioriser nos actions. On constate un gain de temps sur certaines actions et un gain d'efficacité car les agents sont isolés et concentrés (avec plus d'autonomie), temps de trajet compenser par du travail, moins de stress à domicile, plus forte mobilisation.
Points faibles: complétude des enquêtes en ligne, faible retour. Formation e-learning difficulté de participation, circulation de certaines informations et interprétation.
Piste de travail à venir : Revoir la méthodologie de travail à distance, savoir utiliser les outils (visio, audio), prioriser, aller chercher l'information sur le site intranet ou interne (la réunion n'est pas le seul vecteur d'information), formation aux outils collaboratifs (ged, agora..)",4J4S-5HD7,17/05/2020 18:51:30,,17/05/2020 19:33:40,2529.8526156,FR,Terminé,Direct,Smartphone
742,Agriculture et Alimentation,Sous-directeur.trice (centrale),,"Sous-direction recherche, innovation et coopérations internationales",,Oui,,Dès la 1ère semaine,3,"​- Organisation de procédure ""parapheur"" dématérialisée (mais restant un peu bricolée et pas très efficiente en l'absence d'application ad hoc)
- Adaptation et intensification du rythme de réunion de sous-direction
- Démarches pour obtenir un équipement des qqes personnes non dotées d'un ordinateur portable (2 restent encore à équiper sur 27)",Très utile,Utile,Non utilisé,Utile,Pas utile,Pas utile,Très utile,Très utile,Inconnu,Inconnu,Utile,Oui,​- Abonnement zoom personnel avant de disposer de celui du ministère,"​- encore un manque résiduel d'équipement informatique pour le travail à distance
- gestion dématérialisée des circuits de validation par boucles mails assez fastidieuse (procédure ""parapheur"")
- pour certains agents : limites de leur forfait téléphonique
- systèmes de conf audio ou webconf proposés par l'Etat peu efficaces
- qualité médiocre des tel mis à disposition par le ministère => qualité médiocre du son qui est fatigante, surtout quand la plate-forme tel elle-même dégrade la qualité du son",Oui mais insuffisamment,Courriels / Lettre d'information;Web ou audio conférences,,Oui,"Charge très forte pour les cadres. Certains calages et circuits sont plus longs, les journées de travail se rallongent et se poursuivent souvent le soir ou le WE.
La qualité des échanges au sein de la sous-direction est cependant restée très bonne, avec une forte solidarité.",Je ne sais pas encore,,"Relatif succès car on constate que l'essentiel des activités est faisable à distance avec des outils de web conf efficaces.
Questions et attentes pour la suite sur la plus-value du présentiel vs les contraintes de transport souvent lourdes en région parisienne.
Le management à distance en télétravail n'est pas un problème.",KYX4-AD8G,17/05/2020 20:16:04,,17/05/2020 20:32:26,982.2321748,FR,Terminé,Direct,PC
743,Agriculture et Alimentation,Autre,"Chef de l'unité ""contrôle de légalité, dialogue sociale et pilotage du BOP 143"" en DRAAF au sein du Service Régional Formation Développement et faisant partie de l'équipe de crise du COVID 19","Direction Régionale de l'Alimentation, de l'Agriculture et de la Forêt, Service Régional Formation Développement",Occitanie,Oui,,Dès la 1ère semaine,4,"Réunions en visio conférence Zoom avec les équipes de direction des Etablissements publics locaux d'enseignement agricole et de formation professionnelle agricoles (EPLEFPA) avec réception des questions en amont de la réunion et envoi des réponses apportées et des documents à l'issue de la réunion, avec une réunion hebdomadaire. 
Groupe Whatsapp avec ces mêmes directeurs, la totalité des agents du SRFD, l'équipe de crise mise en place
Echange en vidéo sur Whatsapp avec Chef de SRFD et adjoint au chef du SRFD en tant que besoin
(Trop) nombreux échanges téléphoniques
Les agents du SRFD sont partis en télétravail avec leur poste fixe et les applications installées : l'ensemble des missions sont assurées (RH, comptabilité, appui aux établissements de la région, ...)",Très utile,Non utilisé,Non utilisé,Utile,Non utilisé,Non utilisé,Très utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non,,"Etat vieillissant du parc informatique avec des lenteurs, difficultés de connexion de certains personnels, connaissances informatiques insuffisantes de certains personnels du service pour s'installer le poste fixe à domicile (mais très grande réactivité et patience du personnel informatique du service (DRTIC) et de la DRAAF (SIIT))",Oui mais insuffisamment,Courriels / Lettre d'information,,Oui,"Le télétravail et la crise du COVID 19 induit pour certains personnels un usage intensif à la fois de la messagerie, du téléphone et de la visioconférence avec la difficulté de respecter les cadres horaires et le droit à la déconnexion en raison de la pression due à la gestion du COVID 19 et un risque d'épuisement des cadres principalement.",Oui,"La région Occitanie fait partie des régions XXL avec un vaste périmètre géographique. Avant le confinement, les déplacements étaient nombreux : ils peuvent être réduits en faisant appel à la visioconférénce et permettre un gain de temps, d'argent et de fatigue.","Succès : une belle adaptation des agents du SRFD pour maintenir leurs missions en télétravail
Perceptions : le manque lié aux échanges entre personnels en direct et, fait important, la perte d'informations pour certains agents. Le présentiel permet l'information de tous en direct au même moment. L'isolement et la solitude pour certains personnels vivant seuls ou en zone blanche. Le lien ne permet pas de compenser le relationnel en présentiel sur la durée. Le risque de perte d'appartenance à une communauté de travail est également important. 
Enseignements : certains déplacements pourront à l'avenir être évités.",HV9Z-89XB,17/05/2020 20:23:13,,17/05/2020 20:51:09,1676.2902407,FR,Terminé,Direct,PC
744,Solidarité et Santé,Autre,Agent comptable chef des services financiers,Direction financière,Normandie,Oui,,Jamais,5,"Bilan journalier de chaque agents avec point de blocage et dossiers  ayant bien avances,  ce bilan est commun à tous les agents pour permettre de se remplacer. Visio avec les agents ayant des difficultés à travailler en tele travail. Transmission de document ou de PPT sur comment bien vivre le confinement",Très utile,Non utilisé,Non utilisé,Très utile,Très utile,Non utilisé,Non utilisé,Utile,Non utilisé,Très utile,Très utile,Oui,Les services informatique de l ars Normandie se sont rendus disponibles pour résoudre difficultés,Lenteur reseau,Oui,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Oui,Le teletravail va continuer pour la majorité voir la totalité des effectifs.,Le travail d'un an en 2019 sur la dématérialisation totale des documents de l agence comptable a permis de continuer le travail sans difficultés durant cette crise,7NM9-Z69Z,17/05/2020 21:49:10,,17/05/2020 21:57:15,484.915,FR,Terminé,Direct,Smartphone
